"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2017,"Cal Lutheran University","defense","Ty Lozano","7","1","8","1.0/4","1.0","1.0/4","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Obasi Dees","6","1","7","-/-","-","-/-","-","-","0-0","-/-","1-2","1","2","-","-","home"
2017,"Cal Lutheran University","defense","A. Eddington","3","3","6","2.5/12","2.5","1.0/4","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Nick Gordon","3","3","6","1.5/1","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","C. Rivers","5","-","5","1.0/2","1.0","1.0/2","1.0","-","0-0","-/-","1-0","1","1","-","-","home"
2017,"Cal Lutheran University","defense","Kaiden Mowery","1","4","5","2.0/11","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Dane Griffin","4","-","4","2.0/10","2.0","1.0/5","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Klayton Wood","2","2","4","-/-","-","-/-","-","-","0-0","-/-","1-32","1","1","-","-","home"
2017,"Cal Lutheran University","defense","Ethan Pulley","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Auston Kniseley","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","A. Rios-Carlsen","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Jerome Hull","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Izayah Mora","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","S. Martinelli","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Caleb Casimere","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Gus Konadu","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","William Kelly","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","D. Juarez-Lweis","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Diego Hernandez","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","N.McGowan-Smith","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Mason Evans","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Ryan Munoz","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Cal Lutheran University","defense","Lucas Quinn","-","-","-","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2017,"Cal Lutheran University","defense","B. MacDonald","3","6","9","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Victor Bunce","7","1","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Geno Quaid","1","4","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Mitchell Allan","2","3","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","R. Weissenfels","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Sachi Mindich","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Connor Lehner","2","1","3","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Connor Sinclair","1","2","3","0.5/3","0.5","0.5/3","0.5","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Kevin Shoyer","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Lukas Svitek","1","1","2","0.5/2","0.5","0.5/2","0.5","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","M. Cooney","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"Cal Lutheran University","defense","J. Keller","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","M. Stuppiello I","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Matthew Sill","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Will Edwards","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Michael Porter","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Cade Moffatt","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","C. Curcio","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Frankie Rayis","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Jack Cavellier","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Brian Wahl","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Luke Livingston","-","1","1","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Cal Lutheran University","defense","Elijah Jackson","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","M. Layton","1","9","10","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","C. Calomeni","3","7","10","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2017,"Chapman University","defense","D. Keefe","4","5","9","3.0/17","3.0","2.0/12","2.0","-","0-1","1/-","-","-","-","-","-","home"
2017,"Chapman University","defense","C. Delgado","5","3","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","C. Williams","4","3","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","T. Hershey","5","-","5","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2017,"Chapman University","defense","A. O'Shea","4","1","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","A. Dieken","5","-","5","3.0/9","3.0","1.0/2","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","R. Chaves","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","D. Hart","3","1","4","0.5/1","0.5","-/-","-","1","1-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","A. Pyka","2","2","4","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","L. Faletoi","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","P. Iyer","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","N. Doneen","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","C. Tsirtsis","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","C. Wong","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","R. Medeiros","-","2","2","0.5/3","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","S. Estrin","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","A. Bae","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","J. Berger","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","T. Reed","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","C. King","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","J. Bunnel","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Chapman University","defense","C. Masterson","-","-","-","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2017,"Chapman University","defense","Geno Quaid","6","4","10","-/-","-","-/-","-","-","0-0","-/-","-","-","2","-","-","away"
2017,"Chapman University","defense","B. MacDonald","6","2","8","1.0/6","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Mitchell Allan","6","-","6","3.0/6","3.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Will Edwards","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","R. Weissenfels","1","2","3","1.5/5","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Sachi Mindich","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Nick Gott","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Connor Lehner","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Victor Bunce","2","-","2","-/-","-","-/-","-","-","0-0","-/-","1-0","1","-","-","-","away"
2017,"Chapman University","defense","TEAM","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","J. Keller","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Eamon Gallagher","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Matthew Sill","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Michael Porter","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Cade Moffatt","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"Chapman University","defense","Alex Plunk","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Lukas Svitek","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Connor Sinclair","-","1","1","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Zachary Ralston","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","Chance Sears","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Chapman University","defense","M. Cooney","-","-","-","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"La Verne University","defense","Conner Johnson","5","7","12","1.5/7","1.5","0.5/4","0.5","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Connor Truhitte","7","4","11","2.5/10","2.5","0.5/3","0.5","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Alex Olivas","3","4","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Andrew Camargo","5","2","7","1.0/3","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Derrin Hooks","4","2","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Torii Hilbert","6","-","6","1.0/3","1.0","-/-","-","-","0-0","-/-","-","-","1","1","-","home"
2017,"La Verne University","defense","Kyle Kelly","2","3","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","M. Bloomfield","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Alex Martinez","2","1","3","0.5/6","0.5","0.5/6","0.5","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Jose Aguero","1","2","3","-/-","-","-/-","-","-","0-0","-/-","1-55","1","-","-","-","home"
2017,"La Verne University","defense","Robby Bagley","1","1","2","0.5/6","0.5","0.5/6","0.5","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","I. Gutierrez","2","-","2","1.0/5","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Russell Boucher","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Derrick Nubia","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","James Gonsalves","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Robert Brown","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Marcus Blevins","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","C. Mooneyhan","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","G. De Loera","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Brandon Soto","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Austin Brown","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","Cameron Graham","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"La Verne University","defense","B. MacDonald","4","2","6","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"La Verne University","defense","Mitchell Allan","4","2","6","1.5/4","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Geno Quaid","5","-","5","-/-","-","-/-","-","-","0-0","-/-","1-56","1","-","-","-","away"
2017,"La Verne University","defense","Connor Lehner","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","R. Weissenfels","2","1","3","0.5/-","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Sachi Mindich","3","-","3","-/-","-","-/-","-","-","0-1","1/-","-","-","1","-","-","away"
2017,"La Verne University","defense","Victor Bunce","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2017,"La Verne University","defense","Lukas Svitek","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Frankie Rayis","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","M. Cooney","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Jake Norville","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Will Edwards","1","-","1","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Jack Cavellier","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Connor Sinclair","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"La Verne University","defense","Luke Livingston","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2017,"Lewis and Clark College","defense","Campbell, Remin","6","-","6","1.0/2","1.0","1.0/2","1.0","-","0-0","-/-","-","-","-","-","-","home"
2017,"Lewis and Clark College","defense","Werst, Andrew","5","1","6","1.5/9","1.5","1.5/9","1.5","1","1-1","1/-","-","-","-","-","-","home"
2017,"Lewis and Clark College","defense","Malone, Tawayne","5","-","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2017,"Lewis and Clark College","defense","Chang, Cameron","3","2","5","0.5/4","0.5","0.5/4","0.5","-","0-0","-/-","-","-","-","-","-","home"
2017,"Lewis and Clark College","defense","Lahti, Pete","4","-","4","1.0/3","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
