"season","player","jersey","opponent","data","player_squish","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team","game_id","class","school","position","height","weight","hometown","highschool","hometown_hs","url"
2009,"Andrew",NA,"Chapman University","defense","andrew","1","-","1","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Andrew Carcova",NA,"Chapman University","defense","andrew carcova","-","1","1","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Atwater",NA,"Chapman University","defense","atwater","4","1","5","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Brian Kaltenecker",NA,"Chapman University","defense","brian kaltenecker","4","-","4","1.0/1","1.0","-/-","-","-","0-1","1/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Chiang",NA,"Chapman University","defense","chiang","2","-","2","1.0/5","1.0","-/-","-","-","0-0","-/-","-","-","1","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Collin Hoyer",NA,"Chapman University","defense","collin hoyer","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Danny Jones",NA,"Chapman University","defense","danny jones","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"E. Yingling",NA,"Chapman University","defense","e yingling","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Erick Mueller",NA,"Chapman University","defense","erick mueller","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Gorshteyn",NA,"Chapman University","defense","gorshteyn","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Hansen",NA,"Chapman University","defense","hansen","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jake Fey",NA,"Chapman University","defense","jake fey","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jason Oregel",NA,"Chapman University","defense","jason oregel","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jiwanlal",NA,"Chapman University","defense","jiwanlal","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Jordan Pavlisin",NA,"Chapman University","defense","jordan pavlisin","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Kellen Matsuno",NA,"Chapman University","defense","kellen matsuno","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Kevin Anderson",NA,"Chapman University","defense","kevin anderson","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Laredo",NA,"Chapman University","defense","laredo","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Marcoot",NA,"Chapman University","defense","marcoot","4","-","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Michael Mehlhaff",NA,"Chapman University","defense","michael mehlhaff","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
